통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
SAR,+0.33,2023-05-18,353.55,360.7,357.13,357,357,357.13,사우디 리얄
KWD,+3.56,2023-05-18,"4,318.25","4,405.48","4,361.87","4,361","4,361","4,361.87",쿠웨이트 디나르
BHD,+3.43,2023-05-18,"3,516.97","3,588.02","3,552.5","3,552","3,552","3,552.5",바레인 디나르
AED,+0.38,2023-05-18,361.1,368.39,364.75,364,364,364.75,아랍에미리트 디르함
THB,+0.02,2023-05-18,38.7,39.49,39.1,39,39,39.1,태국 바트
SGD,+1.41,2023-05-18,987.86,"1,007.81",997.84,997,997,997.84,싱가포르 달러
IDR,+0.02,2023-05-18,8.91,9.1,9.01,9,9,9.01,인도네시아 루피아
MYR,-0.02,2023-05-18,293.04,298.96,296,296,296,296,말레이지아 링기트
BND,+0.38,2023-05-18,987.86,"1,007.81",997.84,997,997,997.84,브루나이 달러
USD,-5.30,2023-05-19,"1,319.37","1,346.02","1,332.7","1,332","1,332","1,332.7",미국 달러
JPY,-2.74,2023-05-19,952.38,971.62,962,962,962,962,일본 옌
EUR,-5.04,2023-05-19,"1,421.75","1,450.48","1,436.12","1,436","1,436","1,436.12",유로
HKD,-0.65,2023-05-19,168.56,171.97,170.27,170,170,170.27,홍콩 달러
GBP,-5.71,2023-05-19,"1,637.8","1,670.89","1,654.35","1,654","1,654","1,654.35",영국 파운드
CHF,-3.58,2023-05-19,"1,458.19","1,487.64","1,472.92","1,472","1,472","1,472.92",스위스 프랑
CAD,-4.67,2023-05-19,977.52,997.27,987.4,987,987,987.4,캐나다 달러
AUD,-3.04,2023-05-19,874.15,891.8,882.98,882,882,882.98,호주 달러
NZD,+0.70,2023-05-19,822.88,839.51,831.2,831,831,831.2,뉴질랜드 달러
SEK,-1.55,2023-05-19,124.86,127.39,126.13,126,126,126.13,스웨덴 크로나
DKK,-1.46,2023-05-19,190.89,194.74,192.82,192,192,192.82,덴마아크 크로네
NOK,-1.29,2023-05-19,120.85,123.3,122.08,122,122,122.08,노르웨이 크로네
SAR,-1.37,2023-05-19,351.83,358.94,355.39,355,355,355.39,사우디 리얄
KWD,-20.79,2023-05-19,"4,292.73","4,379.46","4,336.1","4,336","4,336","4,336.1",쿠웨이트 디나르
BHD,-14.06,2023-05-19,"3,499.38","3,570.07","3,534.73","3,534","3,534","3,534.73",바레인 디나르
AED,-1.41,2023-05-19,359.33,366.58,362.96,362,362,362.96,아랍에미리트 디르함
THB,-0.29,2023-05-19,38.32,39.09,38.71,38,38,38.71,태국 바트
SGD,-3.38,2023-05-19,978.94,998.71,988.83,988,988,988.83,싱가포르 달러
IDR,-0.03,2023-05-19,8.88,9.05,8.97,8,8,8.97,인도네시아 루피아
MYR,-1.79,2023-05-19,290.83,296.7,293.77,293,293,293.77,말레이지아 링기트
BND,-7.97,2023-05-19,978.94,998.71,988.83,988,988,988.83,브루나이 달러
USD,+4.20,2023-05-22,"1,317.88","1,344.51","1,331.2","1,331","1,331","1,331.2",미국 달러
JPY,+6.51,2023-05-22,957.66,977.01,967.34,967,967,967.34,일본 옌
EUR,+7.66,2023-05-22,"1,426.28","1,455.09","1,440.69","1,440","1,440","1,440.69",유로
HKD,+0.55,2023-05-22,168.57,171.98,170.28,170,170,170.28,홍콩 달러
GBP,+8.09,2023-05-22,"1,641.89","1,675.06","1,658.48","1,658","1,658","1,658.48",영국 파운드
CHF,+10.49,2023-05-22,"1,467.01","1,496.64","1,481.83","1,481","1,481","1,481.83",스위스 프랑
CAD,+4.82,2023-05-22,976.75,996.48,986.62,986,986,986.62,캐나다 달러
AUD,+3.86,2023-05-22,876.79,894.5,885.65,885,885,885.65,호주 달러
NZD,+0.25,2023-05-22,827.1,843.81,835.46,835,835,835.46,뉴질랜드 달러
SEK,+0.75,2023-05-22,125.43,127.96,126.7,126,126,126.7,스웨덴 크로나
DKK,+1.15,2023-05-22,191.48,195.35,193.42,193,193,193.42,덴마아크 크로네
NOK,+0.11,2023-05-22,121.13,123.58,122.36,122,122,122.36,노르웨이 크로네
SAR,+1.12,2023-05-22,351.44,358.53,354.99,354,354,354.99,사우디 리얄
