통화명,전일대비,date
NZD,-2.44,2023-05-25
SEK,-0.98,2023-05-25
DKK,-1.06,2023-05-25
NOK,-0.20,2023-05-25
SAR,-1.12,2023-05-25
KWD,-16.88,2023-05-25
BHD,-12.35,2023-05-25
AED,-1.12,2023-05-25
THB,-0.24,2023-05-25
SGD,-3.23,2023-05-25
IDR,-0.04,2023-05-25
INR,-0.04,2023-05-25
MYR,-1.07,2023-05-25
PKR,-0.02,2023-05-25
BDT,-0.04,2023-05-25
PHP,-0.08,2023-05-25
EGP,-0.06,2023-05-25
MXN,+0.47,2023-05-25
BND,-5.48,2023-05-25
USD,-8.10,2023-05-26
JPY,-4.13,2023-05-26
EUR,-7.62,2023-05-26
CNY,-0.97,2023-05-26
HKD,-1.05,2023-05-26
GBP,-8.78,2023-05-26
CHF,-9.60,2023-05-26
CAD,-6.65,2023-05-26
AUD,-5.00,2023-05-26
NZD,-3.38,2023-05-26
SEK,-1.55,2023-05-26
DKK,-1.12,2023-05-26
NOK,-1.42,2023-05-26
SAR,-2.13,2023-05-26
KWD,-28.02,2023-05-26
BHD,-22.70,2023-05-26
AED,-2.20,2023-05-26
THB,-0.26,2023-05-26
SGD,-6.46,2023-05-26
IDR,-0.05,2023-05-26
INR,-0.10,2023-05-26
MYR,-1.94,2023-05-26
PKR,-0.03,2023-05-26
BDT,-0.08,2023-05-26
PHP,-0.15,2023-05-26
EGP,-0.26,2023-05-26
MXN,-0.53,2023-05-26
BND,-7.91,2023-05-26
USD,+0.10,2023-05-30
JPY,+1.11,2023-05-30
EUR,-2.41,2023-05-30
CNY,-0.23,2023-05-30
HKD,+0.15,2023-05-30
GBP,+1.05,2023-05-30
CHF,+4.47,2023-05-30
CAD,+3.72,2023-05-30
AUD,+2.78,2023-05-30
NZD,+1.98,2023-05-30
SEK,-0.59,2023-05-30
DKK,-0.34,2023-05-30
NOK,-0.75,2023-05-30
SAR,+0.01,2023-05-30
KWD,-1.78,2023-05-30
BHD,-0.95,2023-05-30
AED,-0.03,2023-05-30
THB,-0.03,2023-05-30
SGD,-0.61,2023-05-30
IDR,-0.61,2023-05-30
INR,+0.01,2023-05-30
MYR,+0.27,2023-05-30
PKR,+0.27,2023-05-30
BDT,+0.27,2023-05-30
PHP,-0.09,2023-05-30
EGP,-0.09,2023-05-30
MXN,+0.98,2023-05-30
BND,-0.61,2023-05-30
USD,+1.20,2023-05-31
JPY,+0.72,2023-05-31
EUR,+1.69,2023-05-31
CNY,+0.02,2023-05-31
HKD,+0.14,2023-05-31
GBP,+1.76,2023-05-31
CHF,-1.98,2023-05-31
CAD,+1.35,2023-05-31
AUD,+0.71,2023-05-31
NZD,+1.19,2023-05-31
SEK,+0.01,2023-05-31
DKK,+0.95,2023-05-31
NOK,-0.53,2023-05-31
SAR,+0.32,2023-05-31
KWD,+5.86,2023-05-31
BHD,+3.18,2023-05-31
AED,+0.31,2023-05-31
THB,+0.22,2023-05-31
SGD,+1.29,2023-05-31
IDR,+0.01,2023-05-31
INR,+0.02,2023-05-31
MYR,+1.10,2023-05-31
PKR,+0.01,2023-05-31
BDT,+0.01,2023-05-31
PHP,+0.01,2023-05-31
EGP,+0.18,2023-05-31
MXN,-0.20,2023-05-31
BND,+3.13,2023-05-31
USD,-2.90,2023-06-01
JPY,-0.47,2023-06-01
EUR,-1.57,2023-06-01
CNY,+0.12,2023-06-01
HKD,-0.34,2023-06-01
GBP,+3.74,2023-06-01
CHF,+1.44,2023-06-01
CAD,+1.02,2023-06-01
AUD,-1.22,2023-06-01
NZD,+2.30,2023-06-01
SEK,+0.83,2023-06-01
DKK,+0.09,2023-06-01
NOK,+1.87,2023-06-01
SAR,-0.84,2023-06-01
KWD,-8.03,2023-06-01
BHD,-7.97,2023-06-01
AED,-0.79,2023-06-01
THB,-0.02,2023-06-01
SGD,+0.06,2023-06-01
IDR,-0.01,2023-06-01
INR,-0.04,2023-06-01
MYR,-0.06,2023-06-01
PKR,-0.01,2023-06-01
BDT,-0.03,2023-06-01
PHP,-0.14,2023-06-01
EGP,-0.23,2023-06-01
MXN,-0.19,2023-06-01
BND,-2.40,2023-06-01
USD,+4.70,2023-06-02
JPY,+3.49,2023-06-02
EUR,+5.39,2023-06-02
CNY,+0.57,2023-06-02
HKD,+0.62,2023-06-02
GBP,+6.09,2023-06-02
CHF,+11.10,2023-06-02
CAD,+8.28,2023-06-02
AUD,+3.82,2023-06-02
NZD,+3.12,2023-06-02
SEK,+1.49,2023-06-02
DKK,+2.40,2023-06-02
NOK,+1.63,2023-06-02
SAR,+1.31,2023-06-02
KWD,+19.74,2023-06-02
BHD,+11.26,2023-06-02
AED,+1.25,2023-06-02
THB,+0.48,2023-06-02
SGD,+5.01,2023-06-02
IDR,+0.03,2023-06-02
INR,+0.09,2023-06-02
MYR,+1.33,2023-06-02
PKR,+0.02,2023-06-02
BDT,+0.04,2023-06-02
PHP,+0.13,2023-06-02
EGP,+0.15,2023-06-02
MXN,+0.85,2023-06-02
BND,+6.74,2023-06-02
USD,+2.30,2023-06-05
JPY,+0.61,2023-06-05
EUR,+1.55,2023-06-05
CNY,+0.23,2023-06-05
HKD,+0.29,2023-06-05
GBP,+0.97,2023-06-05
CHF,+1.11,2023-06-05
CAD,+2.58,2023-06-05
AUD,+0.27,2023-06-05
NZD,-0.57,2023-06-05
SEK,-0.20,2023-06-05
DKK,-0.79,2023-06-05
NOK,+0.48,2023-06-05
SAR,+0.56,2023-06-05
KWD,+4.02,2023-06-05
BHD,+6.10,2023-06-05
AED,+0.64,2023-06-05
THB,-0.14,2023-06-05
SGD,-0.28,2023-06-05
IDR,+0.01,2023-06-05
INR,+0.01,2023-06-05
MYR,+1.31,2023-06-05
PKR,+0.06,2023-06-05
BDT,-0.12,2023-06-05
PHP,-0.12,2023-06-05
EGP,+0.08,2023-06-05
MXN,+0.13,2023-06-05
BND,-2.00,2023-06-05
USD,+4.30,2023-06-07
JPY,+3.65,2023-06-07
EUR,+4.60,2023-06-07
CNY,+0.76,2023-06-07
HKD,+0.43,2023-06-07
GBP,+5.21,2023-06-07
CHF,+2.51,2023-06-07
CAD,+5.70,2023-06-07
AUD,+10.10,2023-06-07
NZD,+3.40,2023-06-07
SEK,-0.77,2023-06-07
DKK,+0.44,2023-06-07
NOK,-0.74,2023-06-07
SAR,+1.21,2023-06-07
KWD,+13.57,2023-06-07
BHD,+11.41,2023-06-07
AED,+1.18,2023-06-07
THB,+0.16,2023-06-07
SGD,+4.23,2023-06-07
IDR,+0.10,2023-06-07
INR,+0.04,2023-06-07
MYR,-0.92,2023-06-07
PKR,-0.06,2023-06-07
BDT,+0.11,2023-06-07
PHP,+0.11,2023-06-07
EGP,+0.14,2023-06-07
MXN,+1.00,2023-06-07
BND,+4.91,2023-06-07
USD,-8.50,2023-06-08
JPY,-5.70,2023-06-08
EUR,-9.81,2023-06-08
CNY,-1.07,2023-06-08
HKD,-1.08,2023-06-08
GBP,-11.24,2023-06-08
CHF,-12.83,2023-06-08
CAD,-7.42,2023-06-08
AUD,-5.72,2023-06-08
NZD,-7.55,2023-06-08
SEK,-0.85,2023-06-08
DKK,-1.05,2023-06-08
NOK,-0.50,2023-06-08
SAR,-2.27,2023-06-08
KWD,-28.18,2023-06-08
BHD,-22.54,2023-06-08
AED,-2.32,2023-06-08
THB,-0.31,2023-06-08
SGD,-7.20,2023-06-08
IDR,-0.06,2023-06-08
INR,-0.13,2023-06-08
MYR,-1.36,2023-06-08
PKR,-0.03,2023-06-08
BDT,-0.07,2023-06-08
PHP,-0.15,2023-06-08
EGP,-0.34,2023-06-08
MXN,-0.41,2023-06-08
BND,-6.66,2023-06-08
